Ep   100 | avg reward (100):   -58.2 | food: 1.44/9.41 | epsilon: 0.884 | opp_rand: 0.348 | win rate: 44.0% | buffer: 12393 | heuristic_p: 0.826
Ep   200 | avg reward (100):   -30.7 | food: 1.82/9.30 | epsilon: 0.783 | opp_rand: 0.346 | win rate: 46.0% | buffer: 24522 | heuristic_p: 0.753
Ep   300 | avg reward (100):   -53.5 | food: 2.50/8.70 | epsilon: 0.698 | opp_rand: 0.343 | win rate: 40.3% | buffer: 35975 | heuristic_p: 0.684
Ep   400 | avg reward (100):    -4.0 | food: 2.92/7.92 | epsilon: 0.626 | opp_rand: 0.341 | win rate: 39.2% | buffer: 46861 | heuristic_p: 0.619
Ep   500 | avg reward (100):    38.1 | food: 3.51/8.14 | epsilon: 0.561 | opp_rand: 0.339 | win rate: 39.8% | buffer: 50000 | heuristic_p: 0.553
Ep   600 | avg reward (100):    59.8 | food: 3.79/7.93 | epsilon: 0.504 | opp_rand: 0.337 | win rate: 40.5% | buffer: 50000 | heuristic_p: 0.489
Ep   700 | avg reward (100):    64.4 | food: 4.25/6.69 | epsilon: 0.456 | opp_rand: 0.334 | win rate: 39.6% | buffer: 50000 | heuristic_p: 0.429
Ep   800 | avg reward (100):    48.3 | food: 4.24/7.61 | epsilon: 0.411 | opp_rand: 0.332 | win rate: 38.8% | buffer: 50000 | heuristic_p: 0.367
Ep   900 | avg reward (100):    43.7 | food: 4.67/7.15 | epsilon: 0.371 | opp_rand: 0.330 | win rate: 37.1% | buffer: 50000 | heuristic_p: 0.305
Ep  1000 | avg reward (100):    85.5 | food: 4.70/7.22 | epsilon: 0.337 | opp_rand: 0.328 | win rate: 37.1% | buffer: 50000 | heuristic_p: 0.248
Ep  1100 | avg reward (100):   109.2 | food: 5.06/6.74 | epsilon: 0.306 | opp_rand: 0.325 | win rate: 37.1% | buffer: 50000 | heuristic_p: 0.190
Ep  1200 | avg reward (100):   109.1 | food: 5.08/6.54 | epsilon: 0.280 | opp_rand: 0.323 | win rate: 37.0% | buffer: 50000 | heuristic_p: 0.136
Ep  1300 | avg reward (100):   115.4 | food: 5.78/6.83 | epsilon: 0.253 | opp_rand: 0.321 | win rate: 36.5% | buffer: 50000 | heuristic_p: 0.076
Ep  1400 | avg reward (100):   112.2 | food: 5.25/6.35 | epsilon: 0.231 | opp_rand: 0.319 | win rate: 36.3% | buffer: 50000 | heuristic_p: 0.022
Ep  1500 | avg reward (100):   145.8 | food: 5.74/6.97 | epsilon: 0.210 | opp_rand: 0.316 | win rate: 36.6% | buffer: 50000 | heuristic_p: 0.000
Ep  1600 | avg reward (100):   157.8 | food: 5.54/6.20 | epsilon: 0.193 | opp_rand: 0.314 | win rate: 37.1% | buffer: 50000 | heuristic_p: 0.000
Ep  1700 | avg reward (100):   126.3 | food: 6.07/6.38 | epsilon: 0.176 | opp_rand: 0.312 | win rate: 36.5% | buffer: 50000 | heuristic_p: 0.000
Ep  1800 | avg reward (100):   118.9 | food: 6.18/6.75 | epsilon: 0.159 | opp_rand: 0.310 | win rate: 35.9% | buffer: 50000 | heuristic_p: 0.000
